Name,Startyear,EndYear,Runtime,Genre1,rating,votes
Game of Thrones,2011,2019,57 min,Action,9.3,1801923
Breaking Bad,2008,2013,49 min,Crime,9.5,1501146
The Walking Dead,2010,2022,44 min,Drama,8.2,867638
Stranger Things,2016, ,51 min,Drama,8.7,847224
Sherlock,2010,2017,88 min,Crime,9.1,821245
The Big Bang Theory,2007,2019,22 min,Comedy,8.1,732020
Dexter,2006,2021,53 min,Crime,8.6,653271
How I Met Your Mother,2005,2014,22 min,Comedy,8.3,612152
True Detective,2014,2019,55 min,Crime,8.9,506707
Lost,2004,2010,44 min,Adventure,8.3,502873
Prison Break,2005,2017,44 min,Action,8.3,483423
House of Cards,2013,2018,51 min,Drama,8.7,471083
Black Mirror,2011, ,60 min,Drama,8.8,455741
Vikings,2013,2020,44 min,Action,8.5,445065
Westworld,2016, ,62 min,Drama,8.6,435329
The Office,2005,2013,22 min,Comedy,8.9,431169
House M.D.,2004,2012,44 min,Drama,8.7,419636
Arrow,2012,2020,42 min,Action,7.5,410759
Supernatural,2005,2020,44 min,Drama,8.4,397238
Rick and Morty,2013, ,23 min,Animation,9.2,387293
Suits,2011,2019,44 min,Comedy,8.5,368564
Peaky Blinders,2013, ,60 min,Crime,8.8,368269
Daredevil,2015,2018,54 min,Action,8.6,367644
Narcos,2015,2017,49 min,Biography,8.8,365862
Modern Family,2009,2020,22 min,Comedy,8.4,365783
Mr. Robot,2015,2019,49 min,Crime,8.5,339098
South Park,1997, ,22 min,Animation,8.7,335405
Better Call Saul,2015,2021,46 min,Crime,8.7,334931
Fargo,2014, ,53 min,Crime,8.9,333688
Homeland,2011,2020,55 min,Crime,8.3,318215
La casa de papel,2017, ,70 min,Action,8.3,316766
The Mandalorian,2019, ,40 min,Action,8.8,314540
The Witcher,2019, ,60 min,Action,8.2,312883
The Flash,2014, ,43 min,Action,7.7,311205
The Sopranos,1999,2007,55 min,Crime,9.2,310556
Family Guy,1999, ,22 min,Animation,8.1,308298
Dark,2017,2020,60 min,Crime,8.8,296696
The Wire,2002,2008,59 min,Crime,9.3,290884
The Vampire Diaries,2009,2017,43 min,Drama,7.7,287707
Orange Is the New Black,2013,2019,59 min,Comedy,8.1,281275
American Horror Story,2011, ,60 min,Drama,8.0,280724
Arrested Development,2003,2019,22 min,Comedy,8.7,279933
The Boys,2019, ,60 min,Action,8.7,265541
Sons of Anarchy,2008,2014,45 min,Crime,8.5,264884
13 Reasons Why,2017,2020,60 min,Drama,7.6,260141
Grey's Anatomy,2005, ,41 min,Drama,7.6,257603
Avatar: The Last Airbender,2005,2008,23 min,Animation,9.2,255712
Death Note: Desu nôto,2006,2007,24 min,Animation,9.0,249366
Firefly,2002,2003,44 min,Adventure,9.0,246244
Two and a Half Men,2003,2015,22 min,Comedy,7.0,243711
Lucifer,2016, ,42 min,Crime,8.1,241566
Scrubs,2001,2010,22 min,Comedy,8.3,239199
Brooklyn Nine-Nine,2013,2022,22 min,Comedy,8.4,236395
Hannibal,2013,2015,44 min,Crime,8.5,231847
